PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
175,O,3,9,L,32,Pass,Incomplete,0,LT DOS BACK,DEEP POKE,,,,,,,,2
176,O,4,9,L,32,Pass,Complete,7,LT DOS BACK,SQUIRREL,,,,,,,,2
177,D,1,10,M,-25,Pass,Complete,9,,,,,,,,,,2
178,D,2,1,M,-34,Pass,Incomplete,0,,,,,,,,,,2
179,D,2,6,R,-29,Run,Rush,8,,,,,,,,,,2
180,D,1,10,R,-37,,Penalty,-7,,,,,,,,,,2
181,D,1,17,R,-30,Pass,Incomplete,0,,,,,,,,,,2
182,D,2,17,R,-30,Run,Rush,12,,,,,,,,,,2
183,D,3,5,R,-42,Pass,Complete,19,,,,,,,,,,2
184,D,1,10,R,39,Run,Fumble,0,,,,,,,,,,2
185,O,1,10,R,-36,Run,Rush,5,TRIO BACK 3,HOUSTON GUY Q,,,,,,,,2
186,O,2,5,L,-41,Pass,Complete,6,LT DOS BACK 2,SHOCK SLICE,,,,,,,,2
187,O,1,10,L,-47,Pass,Complete,10,LT TREY 5,TEXAS Q,,,,,,,,2
188,O,1,10,L,43,Run,Rush,2,QUAD,NASCAR DIAMOND,,,,,,,,2
189,O,2,8,R,41,Run,Rush,-1,LT TROFF,COUGAR HUG,,,,,,,,2
190,O,3,9,R,42,Run,Rush,3,DOS BACK,DUCK,,,,,,,,2
191,D,1,10,R,-30,Run,Rush,8,,,,,,,,,,2
192,D,2,2,L,-38,Pass,Complete,9,,,,,,,,,,2
193,D,1,10,L,-47,Pass,"Complete, TD",53,,,,,,,,,,2
194,O,1,10,M,-29,Run,Rush,4,DOS,AKRON FRONT,,,,,,,,2
195,O,2,6,R,-33,Pass,Complete,4,DOS,LONGHORN CLOUD,,,,,,,,2
196,O,3,2,R,-37,Run,Rush,2,TROFF,DEVIL,,,,,,,,2
197,O,1,10,L,-39,Run,Rush,6,DING,DEVIL,,,,,,,,2
198,O,2,4,M,-45,Run,Rush,-1,TROFF ON,DEVIL,,,,,,,,2
199,O,3,5,M,-44,Run,Rush,3,LT TRIO BACK,SLOW,,,,,,,,2
200,O,4,2,M,-47,,,0,,,,,,,,,,2
201,O,1,10,M,-24,Pass,Complete,1,LT TRIO BACK SQUEEZE,SOONER READ,,,,,,,,3
202,O,2,9,R,-25,Pass,Complete,11,LT TRIO BACK,BELT,,,,,,,,3
203,O,1,10,L,-36,Pass,Complete,13,NASCAR ALL,ZIP READ,,,,,,,,3
204,O,1,10,R,-49,Run,Rush,1,TRIO,DEVIL FRONT,,,,,,,,3
205,O,2,9,L,50,Run,Rush,5,TRIO BACK,SPOT Y BOSS,,,,,,,,3
206,O,3,5,L,46,Pass,Complete,20,LT DOS BACK,LUCKY,,,,,,,,3
207,O,1,10,L,26,Run,Rush,0,TRIO BACK,HOUSTON GUY,,,,,,,,3
208,O,2,10,L,26,Pass,"Complete, TD",26,LT TRIO BACK,OKIE GO,,,,,,,,3
209,D,1,10,L,-38,Run,Rush,3,,,,,,,,,,3
210,D,2,7,L,-41,Run,Rush,-1,,,,,,,,,,3
211,D,3,7,L,-40,Pass,Complete,59,,,,,,,,,,3
212,D,1,1,L,1,Run,"Rush, TD",1,,,,,,,,,,3
213,O,1,10,L,-35,Run,Rush,13,LT TRIO BACK 4 SQUEEZE,OKLAHOM F FLY,,,,,,,,3
214,O,1,10,R,-48,Run,Rush,11,LT DOS 3,STREAK,,,,,,,,3
215,O,1,10,L,41,Pass,Complete,9,DING 1,LONGHORN Q BOSS,,,,,,,,3
